fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
['f']->a,0.1446368034351293,0.09399584387480481,0.9996132359285481,0.26765621259276995,0.6983480967201341,False,0.4950350934684515
"['f', 'a']->b",0.04614159555929709,0.007865505868089095,0.9997338274529013,0.37131912856116833,0.6375389035192722,False,0.8691952233451569
"['f', 'a', 'b']->d",0.10554443925072066,0.001332104006082746,0.9999861296820849,0.9442183385204692,0.9717500598515681,False,0.9885132762561827
"['f', 'a', 'b', 'd']->e",-0.0003042807007180848,-2.504753585652608e-07,0.9999978220161951,0.9909025616471152,0.9954512808235576,False,0.999176546469461
"['f', 'a', 'b', 'd', 'e']->g",1.0,1.3454015679315035e-11,1.0,1.0,1.0,True,1.0
"['f', 'a', 'b', 'd', 'e', 'g']->h",1.0,1.4226175792941831e-11,1.0,1.0,1.0,True,1.0
"['f', 'a', 'd', 'g', 'h']->i",1.0,-8.65529869997772e-13,1.0,1.0,1.0,True,1.0
"['f', 'a', 'b', 'd', 'e', 'h']->c",1.0,5.252465129501616e-13,1.0,1.0,1.0,True,1.0
