threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.001,ncvoter,1,['voter_reg_num']->last_name,1.0,1.0,1.0
0.001,ncvoter,1,['street_address']->last_name,0.714197337455607,0.737697188984628,0.7380952380952381
0.001,ncvoter,2,"['city', 'middle_name']->zip_code",0.9404415752828836,0.0,0.8547486033519553
0.001,ncvoter,2,"['city', 'middle_name']->voter_reg_num",0.8709951535778521,0.0,0.4972067039106145
0.001,ncvoter,2,"['middle_name', 'zip_code']->voter_reg_num",0.9106029886111098,0.0,0.5578231292517006
0.001,ncvoter,1,['voter_id']->download_month,0.0,0.0,0.0
0.001,ncvoter,1,['voter_reg_num']->download_month,0.0,0.0,0.0
0.001,ncvoter,1,['street_address']->download_month,0.0230459856795659,0.0257442260863196,0.5238095238095238
0.001,ncvoter,1,['last_name']->download_month,0.0389958607366879,0.0414304253440761,0.5852272727272727
0.001,ncvoter,1,['voter_reg_num']->voter_id,1.0,1.0,1.0
0.001,ncvoter,2,"['city', 'middle_name']->age",0.8385704526258319,0.0,0.6480446927374302
0.001,ncvoter,2,"['middle_name', 'zip_code']->age",0.8704926650962707,0.0,0.6530612244897959
0.001,ncvoter,2,"['middle_name', 'zip_code']->last_name",0.9037724363737036,0.0,0.564625850340136
0.001,ncvoter,2,"['city', 'middle_name']->last_name",0.8610196897812687,0.0,0.5027932960893855
0.001,ncvoter,1,['street_address']->voter_id,0.0,0.0,0.0
0.001,ncvoter,2,"['city', 'middle_name']->download_month",0.6800025757198696,0.0,0.7988826815642458
0.001,ncvoter,2,"['middle_name', 'register_date']->download_month",0.6151447511212987,0.0,0.7627118644067796
0.001,ncvoter,2,"['middle_name', 'zip_code']->voter_id",0.9106029886111098,0.0,0.5578231292517006
0.001,ncvoter,2,"['city', 'middle_name']->voter_id",0.8709951535778521,0.0,0.4972067039106145
0.001,ncvoter,2,"['age', 'middle_name']->download_month",0.5815363497016022,0.0,0.7905138339920948
