threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_INSCRICAO_ENEM']->TP_MOD_CONCORRENCIA,0.0,0.0,0.5789473684210527
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->NU_CPF,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->ST_OPCAO,0.0420787053239735,0.0448366414658666,0.6113744075829384
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->NU_NOTACORTE,0.009326033900321,0.0,0.0236966824644549
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->NU_NOTA_CANDIDATO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->NU_CPF,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->DS_GRAU,0.0605462660033531,0.0588867660378411,0.505464480874317
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_INSCRICAO_ENEM']->NU_CLASSIFICACAO,0.0,0.0007852220055952,0.0589473684210526
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->ST_OPCAO,0.0,0.0,0.6188524590163934
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->NU_NOTACORTE,0.000114524219804,0.000271750663469,0.0191256830601092
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_INSCRICAO_ENEM']->DS_GRAU,0.0205658695873527,0.0233868161778658,0.5228070175438596
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_INSCRICAO_ENEM']->ST_OPCAO,0.0,0.0,0.6364912280701754
0.001,sisu_ufpr_curitiba_politecnico,2,"['CO_IES_CURSO', 'NU_CLASSIFICACAO']->TP_SEXO",0.2351299134435949,0.248768494879698,0.7084569732937686
0.001,sisu_ufpr_curitiba_politecnico,2,"['CO_IES_CURSO', 'NU_CLASSIFICACAO']->SG_UF_CANDIDATO",0.0,0.0,0.7581602373887241
0.001,sisu_ufpr_curitiba_politecnico,2,"['CO_IES_CURSO', 'NU_CLASSIFICACAO']->MUNICIPIO_CANDIDATO",0.0,0.0,0.3167655786350148
