rfi_prime_plus,mu_plus,g3_prime,fd
1.0,1.0,1.0,"['Complaint Precinct Code', 'Full Complaint ID']->Complaint Year Number"
0.7913734578956544,0.7057308349070834,0.8315789473684211,"['Law Code Category Description', 'Offense Description']->PD Code Description"
0.6613506234435461,0.5689788317910712,0.7826356589147286,"['County', 'Offense Category']->Bias Motive Description"
0.6878559446227246,0.4875406114901258,0.6387692307692308,['County']->Patrol Borough Name
0.3213677493602114,0.1931105892178489,0.4647800676714857,['Law Code Category Description']->Offense Description
0.095144102893538,0.088263843929265,0.5443675267463813,"['Complaint Precinct Code', 'County']->Offense Category"
0.0321852670951725,0.0051427728823446,0.0339836375078665,['Complaint Precinct Code']->Full Complaint ID
0.0014135504108754,0.0017515844544341,0.3881882497693018,['Law Code Category Description']->County
0.8198302371918391,0.001244042143485,0.7385412514946194,['Arrest Date']->Arrest Id
0.0032175596761137,0.0005186502959567,0.0433712703783451,['Law Code Category Description']->Complaint Precinct Code
0.1471104915052916,0.0,0.6324273072060683,"['County', 'Bias Motive Description']->Arrest Date"
