rfi_prime_plus,mu_plus,g3_prime,fd
1.0,1.0,1.0,['Census Tract']->BCTCB2010
1.0,1.0,1.0,['Borough']->BoroCode
0.9964367079625904,0.9981710394612326,0.9993893129770992,['City']->Borough Name
0.9958426886309364,0.9941171630744116,0.9941176470588236,['Longitude']->X
0.9958426857808136,0.9941171609374386,0.9941176470588236,['Latitude']->Y
0.9974008999556848,0.9938133471327156,0.9955428207577204,['Neighborhood Tabulation Area Code (NTACODE)']->Neighborhood Tabulation Area (NTA)
0.9238219834506796,0.86355209489816,0.9249167423554344,['SSID']->Provider
0.879627739925309,0.8535978192116346,0.92093305059073,"['SSID', 'Provider']->Location_T"
0.8914204537134801,0.8007869001494621,0.8583168967784353,"['Borough', 'BoroCode', 'Council Distrcit', 'Postcode']->BoroCD"
0.6154552994382315,0.6163207429378883,0.9164133738601824,"['SSID', 'Location_T']->Remarks"
0.6734470276614404,0.5961383479183386,0.7574257425742574,['BIN']->BBL
1.0,0.3775728978722097,1.0,['Remarks']->Type
0.624554293343464,0.2940608302366443,0.4255970606246173,"['Borough', 'BoroCode', 'Council Distrcit']->Postcode"
0.3590416640328485,0.094602263699545,0.216354858177429,"['Borough', 'BoroCode']->Council Distrcit"
0.9983158559480096,0.072363659884013,0.9972356599861782,['SourceID']->Activated
0.8604100152169797,0.0349777353294167,0.7823082239115411,['SourceID']->Name
