fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
['k']->c,0.26811421510554534,0.2888303359174508,0.7698612978688132,0.0,0.6394849785407726,False,0.292938743877917
"['k', 'c']->e",0.24073836707972696,0.24046342428182405,0.9133935460631476,0.0042918454935625405,0.6437768240343348,False,0.30145703530018714
"['k', 'c', 'e']->f",0.31595118915788434,0.30856479160346983,0.9362424555005004,0.07725321888412018,0.7052932761087267,False,0.5328182970433414
"['k', 'c', 'e', 'f']->h",0.15815034502102554,0.21235510282455616,0.8875155801973389,0.24892703862660948,0.5622317596566524,False,0.5854077141556423
"['k', 'c', 'e', 'f', 'h']->i",0.7230622258962336,0.3869070169036385,0.9937249412096987,0.5007153075822602,0.9370529327610873,False,0.8812818546154395
"['e', 'f', 'h', 'i']->j",0.7552993085775667,0.3901620628788845,0.9967703709161463,0.5450643776824033,0.9685264663805436,False,0.8834472132309795
"['k', 'c', 'f', 'i']->d",0.5131196857425245,0.37677951430311807,0.950589540340687,0.2589413447782547,0.82689556509299,False,0.7403916139070544
['k']->b,0.0649733635298042,0.14958019592668417,0.5612780162136386,0.0,0.301859799713877,False,0.15268184511641356
