fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
['g']->l,0.2336684279146367,0.0504871541702655,0.9987373737373737,0.8409090909090909,0.9242424242424242,False,0.8772297220468135
['g']->c,-0.018527708850289537,-0.0005661829620667858,0.9919651056014692,0.6818181818181818,0.8106060606060606,False,0.8971540340446271
['g']->i,-0.013539651837523703,-0.004099855014700005,0.9921946740128559,0.7121212121212122,0.8257575757575757,False,0.9033524345072431
['g']->m,0.07707714717911385,0.011822899475313675,0.994605142332415,0.7878787878787878,0.8939393939393939,False,0.8322140929333625
['g']->a,-0.00946954280287593,-0.00039502738777497104,0.9918503213957759,0.6818181818181818,0.8106060606060606,False,0.9068551661766867
['g']->f,0.13138157179607934,0.02150316682421083,0.9941460055096418,0.6818181818181819,0.8484848484848485,False,0.9365162581518508
['a']->b,0.6957275436355901,0.3850890028255713,0.9983930211202938,0.8257575757575758,0.9318181818181819,False,0.8341529776810562
['g']->e,0.13525114978807806,0.0228401106674887,0.9941460055096418,0.6818181818181819,0.8484848484848485,False,0.9342715944182431
['g']->h,-0.010512914127371875,-0.0005069790882943348,0.9920798898071626,0.6818181818181819,0.8181818181818181,False,0.8979080517916943
['g']->j,0.009588312890079553,0.0010093145388704317,0.9924242424242424,0.7121212121212122,0.8257575757575757,False,0.8876392647784774
['e']->d,0.3348854880338612,0.11799554229468634,0.9965564738292011,0.7954545454545454,0.9318181818181819,False,0.724368840600734
"['a', 'e']->g",0.32773501282948514,0.0022699860852122278,0.9997704315886135,0.9696969696969697,0.9848484848484849,False,0.9953437011408294
"['a', 'e']->h",-0.05220883534136456,-0.0004689774126585,0.9996556473829201,0.9545454545454546,0.9772727272727273,False,0.9905483013745541
"['a', 'e']->c",-0.032974910394264256,-0.0002948490699277162,0.9996556473829201,0.9545454545454546,0.9772727272727273,False,0.9907635323952504
['e']->l,0.3627171562920518,0.1564620055178404,0.9964416896235078,0.6666666666666667,0.8712121212121212,False,0.762415320460024
"['a', 'f']->g",0.49580125962211385,0.002289373866722566,0.9998852157943067,0.9848484848484849,0.9924242424242424,False,0.9976718505704146
"['e', 'h']->j",0.8419320633295552,0.021463049136633106,0.9998852157943067,0.9848484848484849,0.9924242424242424,False,0.9961787674672391
"['a', 'f']->h",-0.05220883534136478,-0.0003126516084194231,0.9997704315886135,0.9696969696969697,0.9848484848484849,False,0.9936988675830362
['f']->l,0.1885537466547722,0.060545574640654465,0.9963269054178145,0.75,0.8939393939393939,False,0.7830817876805594
"['e', 'h']->i",0.8407294832826748,0.017148282108091717,0.9998852157943067,0.9848484848484849,0.9924242424242424,False,0.9969224752290798
"['a', 'e']->f",0.32124352331606276,0.002349289584550829,0.9997704315886135,0.9696969696969697,0.9848484848484849,False,0.9950361784587375
"['e', 'f']->g",0.5966410076976918,0.009124987361322168,0.9995408631772268,0.9621212121212122,0.9924242424242424,False,0.995798108794216
"['e', 'f']->h",0.05301204819277261,0.0016759507793976391,0.9989669421487604,0.9621212121212122,0.9772727272727273,False,0.9848620957227895
['g']->b,-0.07332743884468007,-0.026798957921701727,0.9956382001836547,0.8106060606060606,0.9166666666666666,False,0.7841745973402598
