time_point,msg,execution_time
1.5118286609649658,start: Load Data,0.0
1.5308146476745605,end: Load Data,0.018985986709594727
10.589520931243896,start: Load Embedding,0.0
18.760014295578003,end: Load Embedding,8.170493364334106
22.04649519920349,start: Create Training Data,0.0
22.587857961654663,end: Create Training Data,0.5413627624511719
25.57450819015503,start: Learn Structure,0.0
25.6110098361969,end: Learn Structure,0.03650164604187012
28.67258071899414,start: Get Dependencies,0.0
28.716447591781616,end: Get Dependencies,0.043866872787475586
